OBJECTID,FID_covert,Nom_Clase,ID_Clase,Area,COV,COV_ID,FID_Polygo,Name,FolderPath,Shape_Leng,Shape_Area,aream2,cover,batimv2uw,lon,lat
"1","8588",Sedimentos,"1",304.00000001500,"8588","8589","3",RF CS,PUMA.kmz,0.00074103418,0.00000002638,304.244,bare substrate,-6.50000000000,-86.983,20.707
"2","8589",Sedimentos,"1",623.99999994700,"8589","8590","3",RF CS,PUMA.kmz,0.00111757618,0.00000005413,624.333,bare substrate,-8.90000000000,-86.982,20.707
"3","8592",Sedimentos,"1",4365631.52001000009,"8592","8593","3",RF CS,PUMA.kmz,0.00032414142,0.00000000265,30.514,bare substrate,-9.30000000000,-86.982,20.707
"4","8601",Sedimentos,"1",303.99999996800,"8601","8602","3",RF CS,PUMA.kmz,0.00031444909,0.00000000368,42.395,bare substrate,-9.30000000000,-86.978,20.709
"5","8615",Sedimentos,"1",396.96000686900,"8615","8616","4",BR CS,PUMA.kmz,0.00120507416,0.00000003418,394.157,bare substrate,-2.10000000000,-86.977,20.715
"6","8618",Sedimentos,"1",400.00000002600,"8618","8619","4",BR CS,PUMA.kmz,0.00065071715,0.00000000945,109.031,bare substrate,-2.10000000000,-86.977,20.715
"7","8621",Sedimentos,"1",431.99999998400,"8621","8622","4",BR CS,PUMA.kmz,0.00071877114,0.00000001878,216.616,bare substrate,-1.90000000000,-86.978,20.715
"8","8647",Sedimentos,"1",528.00000001100,"8647","8648","1",RF N,PUMA.kmz,0.00111617921,0.00000004583,528.421,bare substrate,-8.00000000000,-86.954,20.733
"9","8648",Sedimentos,"1",400.00000007900,"8648","8649","1",RF N,PUMA.kmz,0.00116873540,0.00000003236,373.133,bare substrate,-0.80000000000,-86.957,20.734
"10","8649",Sedimentos,"1",464.00000003800,"8649","8650","1",RF N,PUMA.kmz,0.00105300094,0.00000004027,464.371,bare substrate,-8.00000000000,-86.954,20.734
"11","8650",Sedimentos,"1",1055.99999997000,"8650","8651","1",RF N,PUMA.kmz,0.00170814089,0.00000009165,1056.845,bare substrate,-7.90000000000,-86.954,20.734
"12","8651",Sedimentos,"1",607.99999994200,"8651","8652","1",RF N,PUMA.kmz,0.00142355671,0.00000005277,608.486,bare substrate,-9.90000000000,-86.953,20.737
"13","8653",Sedimentos,"1",703.99999995800,"8653","8654","1",RF N,PUMA.kmz,0.00121898801,0.00000002940,338.965,bare substrate,-4.00000000000,-86.961,20.741
"14","8654",Sedimentos,"1",607.99999996700,"8654","8655","1",RF N,PUMA.kmz,0.00112076395,0.00000005277,608.487,bare substrate,-3.90000000000,-86.958,20.741
"15","8655",Sedimentos,"1",719.99999997800,"8655","8656","1",RF N,PUMA.kmz,0.00142358098,0.00000006249,720.577,bare substrate,-4.40000000000,-86.958,20.741
"16","8656",Sedimentos,"1",351.99999999100,"8656","8657","1",RF N,PUMA.kmz,0.00092738736,0.00000001641,189.196,bare substrate,-4.30000000000,-86.961,20.741
"17","8657",Sedimentos,"1",1872.00000006000,"8657","8658","1",RF N,PUMA.kmz,0.00304580693,0.00000016248,1873.498,bare substrate,-4.50000000000,-86.957,20.741
"18","8658",Sedimentos,"1",16832.00000030000,"8658","8659","1",RF N,PUMA.kmz,0.02191324597,0.00000146093,16845.464,bare substrate,-5.10000000000,-86.957,20.742
"19","8659",Sedimentos,"1",3775.99999994000,"8659","8660","1",RF N,PUMA.kmz,0.00405671426,0.00000021152,2438.984,bare substrate,-5.50000000000,-86.957,20.743
"20","8660",Sedimentos,"1",303.99999995100,"8660","8661","1",RF N,PUMA.kmz,0.00105304320,0.00000002639,304.244,bare substrate,-5.70000000000,-86.956,20.743
"21","8752",Sedimentos,"1",5345306.55999999959,"8752","8753","1",RF N,PUMA.kmz,0.09226314902,0.00000597069,68847.068,bare substrate,-6.70000000000,-86.955,20.743
"22","8752",Sedimentos,"1",5345306.55999999959,"8752","8753","2",BR N,PUMA.kmz,0.01710116642,0.00000141004,16259.599,bare substrate,-3.90000000000,-86.959,20.733
"23","23622",Macroalgas,"4",991.99999986900,"23622","23623","3",RF CS,PUMA.kmz,0.00071688070,0.00000001604,185.015,life cover,-8.70000000000,-86.983,20.705
"24","23627",Macroalgas,"4",992.00000011400,"23627","23628","3",RF CS,PUMA.kmz,0.00115748451,0.00000002547,293.736,life cover,-8.90000000000,-86.983,20.705
"25","23630",Macroalgas,"4",527.99999998200,"23630","23631","3",RF CS,PUMA.kmz,0.00127427549,0.00000004582,528.425,life cover,-5.60000000000,-86.984,20.706
"26","23633",Macroalgas,"4",784.00000005200,"23633","23634","3",RF CS,PUMA.kmz,0.00108644851,0.00000004775,550.747,life cover,-9.00000000000,-86.983,20.706
"27","23634",Macroalgas,"4",512.00000000300,"23634","23635","3",RF CS,PUMA.kmz,0.00029538173,0.00000000110,12.674,life cover,-8.40000000000,-86.982,20.706
"28","23637",Macroalgas,"4",1200.00000009000,"23637","23638","3",RF CS,PUMA.kmz,0.00222148395,0.00000005043,581.686,life cover,-8.60000000000,-86.982,20.707
"29","23641",Macroalgas,"4",2032.00000002000,"23641","23642","3",RF CS,PUMA.kmz,0.00357420980,0.00000017633,2033.627,life cover,-5.40000000000,-86.983,20.707
"30","23642",Macroalgas,"4",704.00000005800,"23642","23643","3",RF CS,PUMA.kmz,0.00073328723,0.00000000617,71.098,life cover,-9.00000000000,-86.981,20.707
"31","23643",Macroalgas,"4",415.99999994500,"23643","23644","3",RF CS,PUMA.kmz,0.00096697535,0.00000003610,416.333,life cover,-5.10000000000,-86.983,20.707
"32","23646",Macroalgas,"4",1248.00000000000,"23646","23647","3",RF CS,PUMA.kmz,0.00239491081,0.00000010830,1248.996,life cover,-5.30000000000,-86.983,20.707
"33","23658",Macroalgas,"4",320.00000001700,"23658","23659","3",RF CS,PUMA.kmz,0.00104834871,0.00000002777,320.258,life cover,-5.10000000000,-86.981,20.709
"34","23663",Macroalgas,"4",336.00000008400,"23663","23664","3",RF CS,PUMA.kmz,0.00082694821,0.00000002916,336.269,life cover,-9.70000000000,-86.978,20.710
"35","23666",Macroalgas,"4",431.99999995400,"23666","23667","3",RF CS,PUMA.kmz,0.00097606300,0.00000003749,432.347,life cover,-5.90000000000,-86.979,20.710
"36","23669",Macroalgas,"4",1887.99999989000,"23669","23670","3",RF CS,PUMA.kmz,0.00379564269,0.00000016383,1889.509,life cover,-6.80000000000,-86.978,20.710
"37","23679",Macroalgas,"4",28207.99999990000,"23679","23680","3",RF CS,PUMA.kmz,0.00694763120,0.00000021826,2517.250,life cover,-9.60000000000,-86.977,20.709
"38","23684",Macroalgas,"4",368.00000005700,"23684","23685","3",RF CS,PUMA.kmz,0.00104381883,0.00000003193,368.296,life cover,-7.10000000000,-86.976,20.712
"39","23689",Macroalgas,"4",608.00000005300,"23689","23690","3",RF CS,PUMA.kmz,0.00065613309,0.00000001902,219.337,life cover,-10.10000000000,-86.974,20.713
"40","23690",Macroalgas,"4",9968.00000024000,"23690","23691","3",RF CS,PUMA.kmz,0.00005308171,0.00000000012,1.389,life cover,-10.90000000000,-86.975,20.712
"41","23699",Macroalgas,"4",1584.00000003000,"23699","23700","3",RF CS,PUMA.kmz,0.00395842359,0.00000013746,1585.268,life cover,-7.80000000000,-86.975,20.713
"42","23710",Macroalgas,"4",528.00000008300,"23710","23711","3",RF CS,PUMA.kmz,0.00141889729,0.00000004582,528.421,life cover,-7.70000000000,-86.971,20.716
"43","23715",Macroalgas,"4",496.00000003100,"23715","23716","3",RF CS,PUMA.kmz,0.00097609179,0.00000004304,496.396,life cover,-6.90000000000,-86.970,20.717
"44","23732",Macroalgas,"4",592.00000002400,"23732","23733","3",RF CS,PUMA.kmz,0.00134664217,0.00000005138,592.473,life cover,-10.30000000000,-86.965,20.721
"45","23736",Macroalgas,"4",7727.99999962000,"23736","23737","3",RF CS,PUMA.kmz,0.00275563960,0.00000009617,1109.036,life cover,-11.90000000000,-86.964,20.722
"46","23742",Macroalgas,"4",10623.99999960000,"23742","23743","1",RF N,PUMA.kmz,0.00344638077,0.00000010110,1165.882,life cover,-14.20000000000,-86.961,20.725
"47","23742",Macroalgas,"4",10623.99999960000,"23742","23743","3",RF CS,PUMA.kmz,0.00103177076,0.00000002023,233.316,life cover,-14.60000000000,-86.963,20.722
"48","23743",Macroalgas,"4",463.99999993600,"23743","23744","1",RF N,PUMA.kmz,0.00062156524,0.00000000854,98.493,life cover,-10.40000000000,-86.960,20.725
"49","23744",Macroalgas,"4",528.00000001000,"23744","23745","1",RF N,PUMA.kmz,0.00126527601,0.00000004582,528.422,life cover,-6.80000000000,-86.961,20.725
"50","23745",Macroalgas,"4",288.00000000200,"23745","23746","1",RF N,PUMA.kmz,0.00090383847,0.00000002499,288.230,life cover,-9.30000000000,-86.960,20.725
"51","23746",Macroalgas,"4",895.99999993000,"23746","23747","1",RF N,PUMA.kmz,0.00024947128,0.00000000267,30.781,life cover,-9.60000000000,-86.960,20.725
"52","23747",Macroalgas,"4",831.99999998900,"23747","23748","1",RF N,PUMA.kmz,0.00060143903,0.00000000441,50.865,life cover,-11.80000000000,-86.960,20.726
"53","23748",Macroalgas,"4",335.99999989500,"23748","23749","1",RF N,PUMA.kmz,0.00075016861,0.00000002916,336.268,life cover,-5.00000000000,-86.961,20.726
"54","23749",Macroalgas,"4",288.00000005400,"23749","23750","1",RF N,PUMA.kmz,0.00067333143,0.00000002499,288.231,life cover,-5.10000000000,-86.961,20.726
