ID,Area,Clase,zone,sector
1,101142.52,Macroalgae,BR,C
2,396.37,Coral structure,BR,C
3,382.36,stump and boulders,BR,C
4,10.87,stump and boulders,BR,C
5,43.39,Seagrass communities,BR,C
6,464.37,Sediments,BR,C
7,66.72,Sediments,BR,C
8,304.24,Sediments,BR,C
9,752.6,Sediments,BR,C
10,656.53,Sediments,BR,C
11,444.84,Sediments,BR,C
12,512.41,Sediments,BR,C
13,7.96,Coral structure,BR,C
14,256.2,Coral structure,BR,C
15,0.97,stump and boulders,BR,C
16,768.61,stump and boulders,BR,C
17,88.25,stump and boulders,BR,C
18,568.34,stump and boulders,BR,C
19,77.02,stump and boulders,BR,C
20,102.9,stump and boulders,BR,C
21,11.84,stump and boulders,BR,C
22,0.33,stump and boulders,BR,C
23,293.37,stump and boulders,BR,C
24,32.03,Coral structure,BR,C
25,8,Coral structure,BR,C
26,17.26,Coral structure,BR,C
27,48.04,Coral structure,BR,C
28,16.01,Coral structure,BR,C
29,140.38,NoData,BR,C
30,2829.39,Sediments,BR,N
31,120518.52,Macroalgae,BR,N
32,419.2,stump and boulders,BR,N
33,1326.98,Seagrass communities,BR,N
34,391.69,Sediments,BR,N
35,480.38,Sediments,BR,N
36,1200.96,Sediments,BR,N
37,786.11,Sediments,BR,N
38,2588.26,Sediments,BR,N
39,271.93,Sediments,BR,N
40,304.24,Sediments,BR,N
41,832.67,Sediments,BR,N
42,256.2,Sediments,BR,N
43,256.2,Sediments,BR,N
44,352.28,Sediments,BR,N
45,256.21,Sediments,BR,N
46,1136.91,Sediments,BR,N
47,512.41,Sediments,BR,N
48,512.41,Sediments,BR,N
49,784.63,Macroalgae,BR,N
50,188.19,Macroalgae,BR,N
51,248.56,Coral structure,BR,N
52,80.06,Coral structure,BR,N
53,0.46,stump and boulders,BR,N
54,34.8,stump and boulders,BR,N
55,40.99,stump and boulders,BR,N
56,63.94,stump and boulders,BR,N
57,69.3,stump and boulders,BR,N
58,0.18,stump and boulders,BR,N
59,100.47,stump and boulders,BR,N
60,4275.42,stump and boulders,BR,N
61,96.08,stump and boulders,BR,N
62,832.71,stump and boulders,BR,N
63,1985.59,stump and boulders,BR,N
64,29.72,Coral structure,BR,N
65,15.92,Coral structure,BR,N
66,96.26,NoData,BR,N
67,394.37,Sediments,BR,S
68,105.4,Sediments,BR,S
69,218.78,Sediments,BR,S
70,99468.3,Macroalgae,BR,S
71,54.88,Coral structure,BR,S
72,427.41,stump and boulders,BR,S
73,723.53,Seagrass communities,BR,S
74,55.6,Seagrass and macroalgae,BR,S
75,3.1,Seagrass and macroalgae,BR,S
76,75.69,Seagrass and macroalgae,BR,S
77,363.92,Seagrass and macroalgae,BR,S
78,428.82,Sediments,BR,S
79,672.54,Sediments,BR,S
80,135.47,Coral structure,BR,S
81,138.9,Coral structure,BR,S
82,5.43,Coral structure,BR,S
83,18.55,Coral structure,BR,S
84,25.72,Coral structure,BR,S
85,173.85,Coral structure,BR,S
86,50.84,Coral structure,BR,S
87,60.08,stump and boulders,BR,S
88,4.19,stump and boulders,BR,S
89,49.52,stump and boulders,BR,S
