ID,zone,length,poligon
4,BR,116.32,S
5,BR,115.97,S
6,BR,123.37,S
7,BR,130.53,S
8,BR,140.09,S
9,BR,148.48,S
10,BR,155.63,S
11,BR,156.08,S
12,BR,150.65,S
13,BR,145.58,S
14,BR,118.81,S
15,BR,128.94,S
16,BR,85.976,S
17,BR,77.829,S
18,BR,76.924,S
19,BR,76.48,S
20,BR,76.848,S
21,BR,77.897,S
22,BR,79.083,S
23,BR,82.584,S
24,BR,92.249,S
25,BR,94.831,S
26,BR,136.59,S
27,BR,137.26,S
28,BR,138.3,S
29,BR,183.68,S
30,BR,168.55,S
31,BR,125.19,S
32,BR,86.487,S
33,BR,85.047,S
34,BR,84.686,S
35,BR,84.72,S
36,BR,86.776,S
37,BR,78.789,S
38,BR,77.874,S
39,BR,75.178,S
40,BR,62.98,S
41,BR,50.247,S
42,BR,37.983,S
43,BR,28.128,S
44,BR,150.96,S
45,BR,159.06,S
46,BR,150.56,S
47,BR,122.94,S
48,BR,103.08,S
49,BR,82.686,S
50,BR,75.072,S
51,BR,65.652,S
52,BR,117.4,S
53,BR,125.16,S
54,BR,122.58,S
55,BR,119.59,S
56,BR,114.88,S
57,BR,109.43,S
58,BR,86.112,S
59,BR,76.403,S
60,BR,75.751,S
61,BR,75.245,S
62,BR,88.931,C
63,BR,89.211,C
64,BR,89.503,C
65,BR,90.319,C
66,BR,103.59,C
67,BR,102.75,C
68,BR,100.53,C
69,BR,95.442,C
70,BR,88.571,C
71,BR,85.539,C
72,BR,81.657,C
73,BR,72.759,C
74,BR,72.524,C
75,BR,69.067,C
76,BR,69.953,C
77,BR,74.227,C
78,BR,75.206,C
79,BR,76.428,C
80,BR,78.739,C
81,BR,81.734,C
82,BR,111.49,C
83,BR,122.63,C
84,BR,135.16,C
85,BR,138.74,C
86,BR,139.21,C
87,BR,133.13,C
88,BR,126.61,C
89,BR,116.73,C
90,BR,106.8,C
91,BR,105.03,C
92,BR,110.01,C
93,BR,114.2,C
94,BR,117.4,C
95,BR,119.83,C
96,BR,122.96,C
97,BR,124.1,C
98,BR,124.59,C
